stop_id,stop_name,stop_lat,stop_lon,routes,daily_trips,mean_lst_c,pct_green,pct_no_vehicle,pct_65_plus,shelter_status,lst_percentile,shelter_factor,social_vulnerability,shade_need,shade_need_rank,top20_shade_need
1600,Markets West,29.6381107,-82.4211188,76,9,42.70793108258928,11.8,15.250836120401337,8.166317678731678,unknown,0.9398034398034398,1.25,0.771757017131527,0.7996,57,False
1290,Alachua County Courthouse,29.650198,-82.325153,1,43,39.31123744419643,2.5,10.72961373390558,13.34805299076676,none,0.6756756756756757,1.5,0.8077673645254027,0.7982,58,False
1372,Newberry Rd @ NW 75th,29.659854,-82.421213,23,25,41.006385803222656,24.8,5.470500373412994,18.014849550605703,none,0.8587223587223587,1.5,0.8163199478354465,0.7907,59,False
849,Hume Hall (Eastbound),29.644837,-82.351988,"20,118",99,40.50120326450893,38.3,49.78902953586498,0.0,unknown,0.8071253071253072,1.25,1.2663883344795444,0.7883,60,False
741,Gainesville Public Works,29.688362,-82.32783,15,23,39.07194688585069,30.6,11.592076302274394,26.838966202783297,none,0.6547911547911548,1.5,1.1556368975586597,0.7877,61,False
372,Lux 13 Apartments,29.67111,-82.339044,8,16,43.129196579391895,29.1,14.08811475409836,9.192399049881235,none,0.9557739557739557,1.5,0.7735085653697422,0.7862,62,False
108,SE 24th Street at Hawthorne Road,29.646148,-82.293949,7,14,40.977316463694855,32.6,20.242214532871973,17.217034843999087,unknown,0.8501228501228502,1.25,1.093892743372281,0.7835,63,False
1005,Springhill Professional Center,29.687951,-82.430174,"43,55",23,38.630392635569855,31.9,17.254556143445033,28.263455248290214,none,0.5872235872235873,1.5,1.3044316816922739,0.7825,64,False
236,Early Learning Coalition,29.694993,-82.339162,6,14,40.95619070870536,11.1,5.620753551575047,12.678288431061809,none,0.8464373464373465,1.5,0.6885985563917822,0.7772,65,False
1497,Alachua School Bus Parking Lot,29.648572,-82.300287,3,14,39.84602355957031,36.1,20.242214532871973,17.217034843999087,none,0.7407862407862408,1.5,1.093892743372281,0.7767,66,False
740,Stephen Foster Elementary School @ 39th Ave,29.688428,-82.331785,"15,55",32,39.65307976217831,37.7,11.592076302274394,26.838966202783297,none,0.7174447174447175,1.5,1.1556368975586597,0.7748,67,False
1601,Markets West (Eastbound),29.6379503,-82.4208262,76,9,43.076847076416016,15.9,15.250836120401337,8.166317678731678,unknown,0.9533169533169533,1.25,0.771757017131527,0.7734,68,False
1496,Family Dollar Shopping Center,29.645966,-82.295144,3,14,40.7871728515625,43.2,20.242214532871973,17.217034843999087,none,0.8292383292383292,1.5,1.093892743372281,0.7728,69,False
1097,Oaks Mall,29.659514,-82.413875,"23,75",52,44.42370275548986,12.0,5.992043759323719,8.548422678138099,none,0.984029484029484,1.5,0.5948866626722727,0.7727,70,False
101,SE 24th Street - Dollar General Store,29.646123,-82.293768,7,14,40.93427668391048,34.6,20.242214532871973,17.217034843999087,unknown,0.8452088452088452,1.25,1.093892743372281,0.7558,71,False
743,Pine Forest Homes,29.6883,-82.322752,15,23,40.60312228732639,36.2,11.592076302274394,26.838966202783297,unknown,0.816953316953317,1.25,1.1556368975586597,0.7529,72,False
256,Mount Pleasant Cemetary,29.679712,-82.33895,"6,15",37,39.83282470703125,41.3,11.592076302274394,26.838966202783297,none,0.7395577395577395,1.5,1.1556368975586597,0.7525,73,False
1289,Pepboys Auto @ Newberry RD,29.659597,-82.424971,23,25,42.11674329969618,25.6,0.4123711340206186,18.689934243803744,none,0.9213759213759214,1.5,0.7311198073999927,0.7518,74,False
